condition,lambda_A,lambda_B,lambda_C,ss_mean_age,ss_propagation,ss_entropy_prod,ss_complexity,ss_active_area,ss_throughput,survival_rate,turnover_rate
memoryless,-0.3647447706022409,0.00022038466454510485,0.0,0.0,0.005726238473387024,1.154641923552256,0.22304186116524322,39.7325,1.9876234973670772,0.2998570548182715,0.7001429451817285
persistent,2.231554945514773,0.3454180950566997,1.011877675850377,99.71504657396265,0.03179866814489874,2.7049565137224496,0.06926335123992318,155.4688888888889,2.170644977707918,0.9965890097083555,0.003410990291644479
persistent+branching,2.350079727003517,0.3813280431361548,1.0063911247482995,99.19308182200226,0.02368990178572243,3.1683739799119706,0.007321404182540437,287.27444444444444,2.2235193177107044,0.9975370269362506,0.002462973063749345
decouple_baseline,2.350079727003517,0.3813280431361548,1.0063911247482995,99.19308182200226,0.02368990178572243,3.1683739799119706,0.007321404182540437,287.27444444444444,2.2235193177107044,0.9975370269362506,0.002462973063749345
cap_50,1.7667235920140087,0.0067028496170154685,0.6508256215943691,24.14477767571549,0.11443437012712074,3.0229934057128327,0.006269683707049188,295.63388888888886,2.1663682986648536,0.9847356696784095,0.015264330321590453
cap_150,2.1747909493173765,0.15178696014698198,0.7323384237760722,57.39020839654964,0.04776424892011772,3.1404363440556518,0.0062623508655982795,296.11027777777775,2.210594445232539,0.9950975152651477,0.004902484734852363
override_5%,1.8780951260399956,0.016179720262488973,1.0003467175364895,49.39559835026715,0.10135613482003536,3.0684834416221274,0.005234052544436094,304.2836111111111,2.180941558835833,0.9884678759641872,0.011532124035812785
override_15%,1.4841421152539374,0.0002765909769097996,1.0089263040651,24.09179035779895,0.09612251899164237,2.84438857056401,0.013421938128155432,253.935,2.1121565374073197,0.9699013260850912,0.030098673914908784
blind,1.8901271245773883,0.02031665421798332,1.019101562799439,49.82986800177786,0.1024652106658901,3.0711485000517302,0.0053819122169216525,303.41277777777776,2.1826297672075627,0.9887985492034538,0.011201450796546221
half_blind,2.066785373672644,0.07117997413940476,1.0035054549029094,66.54309284554577,0.06692960201231622,3.117638779515139,0.005462626265022805,302.6936111111111,2.199481063934058,0.9931504502759345,0.006849549724065461
anti_coupled,0.5662786711359677,0.00525403873666906,1.0559855056777496,3.766655090354796,0.0,0.5046856316232742,0.15788221904029698,14.466111111111111,1.8944404233099308,0.7999826279164475,0.2000173720835525
reinf_eps0,2.341609427382246,0.3694619399256783,1.0074632090861029,99.2929417843639,0.026144234397807997,3.166502974396536,0.007039858147916183,289.98333333333335,2.222151183322362,0.9974360205090729,0.0025639794909270873
reinf_eps0.4,2.3443002649718983,0.35809029871676185,1.0207258726306612,98.75947500946943,0.028362640563271025,3.1833747318563343,0.006831500604301023,290.84722222222223,2.228078968619492,0.9974366219057369,0.002563378094263041
reinf_no_noise,2.6031443726201813,1.0,0.013270295784329054,1251.211875,0.535,3.174468643991483,0.0014490288825837509,369.125,2.210861872075871,1.0,0.0
