step,output_entropy,fragmentation,effective_modes,kl_from_uniform,energy_in,energy_out,energy_lost,throughput_mean,active_area,mean_age,n_replicating,regime,regime_name,seed,sweep_param,sweep_value
0,3.1465631585761535,40,8.855434884918198,0.8534368414238465,20.0,5.522283238404614,14.4777167615954,0.28351325408483546,113,0.0,0,1,memoryless,0,E_in,20.0
1,3.4256755587317507,40,10.745610601474478,0.5743244412682491,20.0,5.700099334997869,14.29990066500214,0.28844847519742767,146,0.0,0,1,memoryless,0,E_in,20.0
2,3.1570779725786524,40,8.920211842782747,0.8429220274213471,20.0,5.527218393919094,14.472781606080911,0.28561479481958085,112,0.0,0,1,memoryless,0,E_in,20.0
3,3.3357333507429594,40,10.096150041490315,0.6642666492570414,20.0,5.6598622270012005,14.340137772998817,0.28920306836147053,131,0.0,0,1,memoryless,0,E_in,20.0
4,3.2099351543079715,40,9.253089557647424,0.7900648456920283,20.0,5.5427963640096,14.457203635990412,0.2860448987699658,125,0.0,0,1,memoryless,0,E_in,20.0
5,3.271098185298765,40,9.653808343321614,0.7289018147012349,20.0,5.720859889861078,14.27914011013894,0.29178566309279347,131,0.0,0,1,memoryless,0,E_in,20.0
6,3.143424061561011,40,8.836187678787212,0.856575938438989,20.0,5.717461374991086,14.282538625008929,0.2908504180092387,113,0.0,0,1,memoryless,0,E_in,20.0
7,3.2307762101303448,40,9.387729095173993,0.769223789869656,20.0,5.553810501589671,14.446189498410341,0.2855751711594495,124,0.0,0,1,memoryless,0,E_in,20.0
8,3.1514458046963583,40,8.885455924202729,0.8485541953036422,20.0,5.514317127468491,14.485682872531525,0.2863227719425575,115,0.0,0,1,memoryless,0,E_in,20.0
9,3.288825460044177,40,9.77316236632236,0.7111745399558235,20.0,5.5813595514577035,14.41864044854231,0.28646688938535714,126,0.0,0,1,memoryless,0,E_in,20.0
10,3.3275583467371144,40,10.039102182282301,0.6724416532628863,20.0,5.498703266152065,14.501296733847944,0.2840584749673166,129,0.0,0,1,memoryless,0,E_in,20.0
11,3.2116943741729216,40,9.26437964138088,0.7883056258270783,20.0,5.429931706673408,14.570068293326605,0.2849517562523485,120,0.0,0,1,memoryless,0,E_in,20.0
12,3.2674794378791754,40,9.629623802668808,0.7325205621208247,20.0,5.448525592595988,14.55147440740402,0.2826806887026923,124,0.0,0,1,memoryless,0,E_in,20.0
13,3.050131294921499,40,8.282873153422573,0.9498687050785013,20.0,5.566417139035268,14.433582860964746,0.2871261647460115,109,0.0,0,1,memoryless,0,E_in,20.0
14,3.348140295082022,40,10.18334971533342,0.651859704917978,20.0,5.6040202491249484,14.395979750875062,0.2879091795488614,132,0.0,0,1,memoryless,0,E_in,20.0
15,3.1442399092954827,40,8.841185978655417,0.8557600907045176,20.0,5.44160839996285,14.55839160003717,0.28533041531598613,113,0.0,0,1,memoryless,0,E_in,20.0
16,3.0785917486383063,40,8.447894094000151,0.9214082513616931,20.0,5.4142935646524,14.585706435347616,0.2830068401625406,107,0.0,0,1,memoryless,0,E_in,20.0
17,3.2577340747364807,40,9.564795177526351,0.7422659252635195,20.0,5.637224310919526,14.362775689080486,0.28671845081347663,124,0.0,0,1,memoryless,0,E_in,20.0
18,3.289057670447839,40,9.774735541915803,0.7109423295521617,20.0,5.625583131322101,14.374416868677923,0.2871581641745246,130,0.0,0,1,memoryless,0,E_in,20.0
19,3.125005032891132,40,8.724092295564171,0.8749949671088679,20.0,5.539654349652634,14.460345650347376,0.28631323559043476,108,0.0,0,1,memoryless,0,E_in,20.0
20,3.236773652896228,40,9.426836152638534,0.7632263471037724,20.0,5.6259302030839216,14.3740697969161,0.28805891285558655,122,0.0,0,1,memoryless,0,E_in,20.0
21,3.235408727625691,40,9.417921696167358,0.7645912723743095,20.0,5.589296489303232,14.410703510696784,0.28839924355653,122,0.0,0,1,memoryless,0,E_in,20.0
22,3.29966848784412,40,9.846892361711653,0.7003315121558804,20.0,5.585901261512197,14.414098738487816,0.286767637260764,128,0.0,0,1,memoryless,0,E_in,20.0
23,3.1465287919724574,40,8.855223941102704,0.8534712080275425,20.0,5.609529371838404,14.390470628161609,0.28699156071771803,116,0.0,0,1,memoryless,0,E_in,20.0
24,3.1686137166712136,40,8.991823496351548,0.8313862833287863,20.0,5.681121012845793,14.318878987154221,0.28882801638751504,118,0.0,0,1,memoryless,0,E_in,20.0
25,3.297300486177019,40,9.830743188807398,0.7026995138229811,20.0,5.715455970013911,14.284544029986101,0.2909100954186553,133,0.0,0,1,memoryless,0,E_in,20.0
26,3.239512527546201,40,9.444749464344255,0.7604874724537989,20.0,5.612829226400338,14.387170773599678,0.28820731404814676,121,0.0,0,1,memoryless,0,E_in,20.0
27,3.2374033823656436,40,9.430951819598286,0.7625966176343569,20.0,5.573391378379041,14.426608621620973,0.2866448061422874,126,0.0,0,1,memoryless,0,E_in,20.0
28,3.3197126150871474,40,9.984655249355084,0.6802873849128521,20.0,5.619887109446126,14.380112890553885,0.28873454000019383,135,0.0,0,1,memoryless,0,E_in,20.0
29,3.314619970345163,40,9.949472026232625,0.6853800296548375,20.0,5.624925590699937,14.375074409300074,0.28851092493230035,132,0.0,0,1,memoryless,0,E_in,20.0
30,3.178138934075462,40,9.051387325351355,0.8218610659245382,20.0,5.496308405111504,14.503691594888505,0.28559697668402606,119,0.0,0,1,memoryless,0,E_in,20.0
31,3.1242861379843405,40,8.719746163495987,0.87571386201566,20.0,5.478960282481904,14.521039717518113,0.28531795896989537,111,0.0,0,1,memoryless,0,E_in,20.0
32,3.2322708602115737,40,9.397459939534567,0.7677291397884263,20.0,5.56470537796481,14.435294622035197,0.28541864062065897,121,0.0,0,1,memoryless,0,E_in,20.0
33,3.1684158165360743,40,8.990590137262556,0.8315841834639258,20.0,5.563492256238009,14.436507743762002,0.28770961693366476,119,0.0,0,1,memoryless,0,E_in,20.0
34,3.3316269721861804,40,10.067453978591232,0.6683730278138191,20.0,5.630689862586005,14.369310137414015,0.2881648801582511,137,0.0,0,1,memoryless,0,E_in,20.0
