alpha,split,threshold,cum_ep_mean,cum_ep_std
0.05,2,0.3,439.6383960961034,25.490142294617637
0.05,2,0.5,407.9062679703846,43.52540853134016
0.05,2,0.8,420.01384484983333,41.27190787005444
0.05,8,0.3,638.2832928078309,13.106197322279883
0.05,8,0.5,621.7696338037401,24.320792382977675
0.05,8,0.8,621.949557529557,21.00845692825554
0.05,16,0.3,699.1052873919052,7.967111594169378
0.05,16,0.5,689.8030260037326,15.00435868104273
0.05,16,0.8,684.7020269237743,12.063783480596053
0.1,2,0.3,410.200921140764,36.35389751955996
0.1,2,0.5,399.71671821509926,44.69176609920092
0.1,2,0.8,412.0423453948538,63.16924097373575
0.1,8,0.3,688.7293730861279,12.765178632484615
0.1,8,0.5,686.0583748472822,15.466926113336923
0.1,8,0.8,686.2243616782822,26.52355720714426
0.1,16,0.3,788.1790511536725,1.0446964865616921
0.1,16,0.5,789.9313886575575,1.0285127350481376
0.1,16,0.8,783.7858516496811,6.7654271295084465
0.15,2,0.3,340.3547638529556,28.43475774594205
0.15,2,0.5,334.12840033096194,45.54548035096599
0.15,2,0.8,361.7511054487938,31.643168432192276
0.15,8,0.3,657.5376088716718,10.691759904773136
0.15,8,0.5,651.094614584474,17.72964675176063
0.15,8,0.8,666.0387475155044,10.626025915145984
0.15,16,0.3,783.6366662188344,1.9363866401340362
0.15,16,0.5,778.3399662413673,1.4843807867726144
0.15,16,0.8,782.6933595112318,3.695197061641024
0.2,2,0.3,283.3056232975703,19.227251955724498
0.2,2,0.5,274.59757412189987,27.022529050392073
0.2,2,0.8,354.2616937965477,4.964154759349522
0.2,8,0.3,588.3803031133748,7.776575226256906
0.2,8,0.5,589.0360329930378,8.165040379618876
0.2,8,0.8,645.107906814418,2.1081157330681464
0.2,16,0.3,716.9873070346692,5.784236576731265
0.2,16,0.5,723.1758855924068,8.472843216469627
0.2,16,0.8,757.2782347974859,3.791653819247819
0.25,2,0.3,264.32067459825925,43.2088670750979
0.25,2,0.5,267.56500561547335,36.89392829850736
0.25,2,0.8,339.574596411919,24.16382376485933
0.25,8,0.3,533.2002862172761,22.34017044398738
0.25,8,0.5,549.1690780296244,15.547716094769399
0.25,8,0.8,620.2622509426582,8.894524744070718
0.25,16,0.3,647.6712964035141,7.690692184690827
0.25,16,0.5,668.8973764434759,2.70103383538811
0.25,16,0.8,729.7952409288135,0.06566143887068275
0.3,2,0.3,216.92180168563598,9.516883085191914
0.3,2,0.5,221.8881927197209,20.420965290738177
0.3,2,0.8,417.7496637658778,34.78602161695805
0.3,8,0.3,467.08455498190455,6.95102480283831
0.3,8,0.5,487.79893303437274,14.329095069697619
0.3,8,0.8,641.0202630980107,15.61314584096059
0.3,16,0.3,577.2359844320514,4.494353803394794
0.3,16,0.5,604.5280069426072,8.694414461785712
0.3,16,0.8,720.7359307188707,5.760284823077429
0.4,2,0.3,178.52704043967472,20.580426250084187
0.4,2,0.5,177.71817997180597,8.46636650511053
0.4,2,0.8,432.213169528602,19.173623300243797
0.4,8,0.3,391.22239350591326,17.4106068848881
0.4,8,0.5,418.21885186578146,12.787543127089553
0.4,8,0.8,630.9277429484126,10.670268517895863
0.4,16,0.3,485.95260039675463,15.111744365420344
0.4,16,0.5,526.1458744719722,14.55617518147237
0.4,16,0.8,697.6218774558407,7.578191345172561
