alpha,split,threshold,cum_ep_mean,cum_ep_std
0.05,2,0.3,386.48346353893845,74.29598706239075
0.05,2,0.5,400.58336959343677,23.645976952182384
0.05,2,0.8,351.18759314995947,36.81652053204667
0.05,8,0.3,631.5212426143162,47.5827754321036
0.05,8,0.5,617.1098483222023,12.468176638779838
0.05,8,0.8,537.0446576404674,20.07638191283252
0.05,16,0.3,713.2581303636392,32.684826777382995
0.05,16,0.5,685.3095848558602,7.293280063648289
0.05,16,0.8,594.4909816746424,15.768889075099485
0.1,2,0.3,442.4761612097243,43.824769963593724
0.1,2,0.5,402.8372101738089,22.134975750734586
0.1,2,0.8,405.06442981127856,53.001312627423104
0.1,8,0.3,776.9945784820438,21.287553745619043
0.1,8,0.5,738.2805247747357,13.624334668136786
0.1,8,0.8,693.606930901964,24.840107119287158
0.1,16,0.3,899.2125320583592,8.840880988998489
0.1,16,0.5,861.4558365052004,15.135188938725173
0.1,16,0.8,794.1570194997809,10.876366309890455
0.15,2,0.3,431.1751817266861,19.57060034534791
0.15,2,0.5,447.11690868708234,36.67847670535483
0.15,2,0.8,395.25391713977433,21.029327161738973
0.15,8,0.3,810.5914534441509,8.87364968623337
0.15,8,0.5,805.23262241585,10.897715510559715
0.15,8,0.8,750.2566462895388,10.514088390416413
0.15,16,0.3,958.899344591584,3.3258188976579683
0.15,16,0.5,939.4767624997988,3.65594077530619
0.15,16,0.8,882.9648172283928,6.882895077533602
0.2,2,0.3,415.60296460621686,34.603002148033696
0.2,2,0.5,411.6839875095132,39.31228200089917
0.2,2,0.8,402.6683917251717,19.754199120500484
0.2,8,0.3,812.8527106498287,13.777104536582138
0.2,8,0.5,809.1847565457994,14.281531504267118
0.2,8,0.8,792.5766462777759,4.94226181778848
0.2,16,0.3,975.1694268823845,3.549408759240933
0.2,16,0.5,966.9897931091668,2.6032955798263497
0.2,16,0.8,943.7696338931,3.8844250810608654
0.25,2,0.3,359.42467548686955,51.40874035016998
0.25,2,0.5,367.87382710322487,39.3465507705431
0.25,2,0.8,382.49105613738647,23.54174218415209
0.25,8,0.3,785.6613942657486,17.89106261364424
0.25,8,0.5,799.8292190053552,14.00159190017887
0.25,8,0.8,801.2622396021683,6.114402311055471
0.25,16,0.3,971.2467238233207,4.160708748272376
0.25,16,0.5,980.4396890364892,3.302987849818959
0.25,16,0.8,970.3833406259868,5.0588604376628625
0.3,2,0.3,375.54858748685405,8.381168670875761
0.3,2,0.5,382.03150756266314,35.51795901975976
0.3,2,0.8,386.9792352152519,25.89709270152514
0.3,8,0.3,781.2503699668518,3.5163658659682415
0.3,8,0.5,804.260531303538,12.245712786637215
0.3,8,0.8,808.4067680076118,9.152976917158343
0.3,16,0.3,955.6880288890319,0.5169568308041511
0.3,16,0.5,979.0112137411711,3.0062430309020205
0.3,16,0.8,979.8111282036084,1.181014427894965
0.4,2,0.3,319.40781429773807,27.78891190422092
0.4,2,0.5,340.7732294488185,24.061737152384016
0.4,2,0.8,390.2471291236912,26.49222534391838
0.4,8,0.3,738.3963584126086,8.28824102037985
0.4,8,0.5,774.7915229132919,15.385507448164734
0.4,8,0.8,797.6077465868093,11.071162203523727
0.4,16,0.3,926.0666934102686,7.5666451658584934
0.4,16,0.5,961.8788116359655,8.63485937588243
0.4,16,0.8,963.4982595252718,2.8350977075314807
